Model,Training time,Accuracy,Precision,Recall,Macro F1
Distilbert Fine Tuning,24.77 min,0.93188,0.9303308090872858,0.93368,0.932002395687762
Distilbert Fine Tuning,24.69 min,0.93208,0.9318727011034703,0.93232,0.9320962968887467
Distilbert Fine Tuning,24.77 min,0.93252,0.9293940115955841,0.93616,0.9327647363596508
TF_IDF Model [RAW],1.48 min,0.88292,0.8840568081521303,0.88144,0.8827464647678565
TF_IDF Model [RAW],1.47 min,0.88292,0.8840568081521303,0.88144,0.8827464647678565
TF_IDF Model [RAW],1.63 min,0.88292,0.8840568081521303,0.88144,0.8827464647678565
TF_IDF Model [RAW],5.53 min,0.88292,0.8840568081521303,0.88144,0.8827464647678565
TF_IDF Model [PROCESSED],1.01 min,0.87948,0.8772767040483576,0.8824,0.8798308937901327
TF_IDF Model [PROCESSED],1.01 min,0.87948,0.8772767040483576,0.8824,0.8798308937901327
TF_IDF Model [PROCESSED],1.09 min,0.87948,0.8772767040483576,0.8824,0.8798308937901327
